대학교명,학과명,대학교ID,학과ID
디지털서울문화예술대학교,경영학과,254,24
디지털서울문화예술대학교,국어교육과,254,46
디지털서울문화예술대학교,동물자원학과,254,86
루터대학교,교양인문학부,130,4
마산대학교,기계과,331,78
마산대학교,방사선과,331,105
마산대학교,보건행정과,331,108
마산대학교,언어재활과,331,113
마산대학교,응급구조과,331,116
마산대학교,의료정보시스템과,331,120
명지대학교 인문캠퍼스,경영정보학과,70,23
명지대학교 인문캠퍼스,경영학과,70,24
명지대학교 인문캠퍼스,경제학과,70,26
명지대학교 인문캠퍼스,교양사회과학부,70,34
명지대학교 인문캠퍼스,교양인문학부,70,4
명지대학교 인문캠퍼스,국어국문학과,70,5
명지대학교 인문캠퍼스,국제지역학과,70,7
명지대학교 인문캠퍼스,국제통상학과,70,38
명지대학교 인문캠퍼스,문예창작학과,70,16
명지대학교 인문캠퍼스,문헌정보학과,70,18
명지대학교 자연캠퍼스,건축학과,131,65
명지대학교 자연캠퍼스,교양공학부,131,71
명지대학교 자연캠퍼스,교양인문학부,131,4
명지대학교 자연캠퍼스,교양자연과학부,131,82
명지대학교 자연캠퍼스,교통공학과,131,72
명지대학교 자연캠퍼스,국제학부,131,39
명지대학교 자연캠퍼스,기계공학과,131,77
명지대학교 자연캠퍼스,물리학과,131,88
명지대학교 자연캠퍼스,생명과학과,131,95
명지전문대학,경영정보과,211,22
명지전문대학,기계과,211,78
명지전문대학,문예창작과,211,15
명지전문대학,문헌정보과,211,17
명지전문대학,의료정보시스템과,211,120
목원대학교,고고학과,10,1
목포과학대학교,건축설비과,286,64
목포과학대학교,관광경영과,286,29
목포과학대학교,물리치료과,286,103
목포과학대학교,방사선과,286,105
목포과학대학교,보건행정과,286,108
문경대학교,경영정보과,249,22
배재대학교,교양사회과학부,109,34
배재대학교,교양인문학부,109,4
배재대학교,국제통상학과,109,38
배재대학교,러시아학과,109,14
배재대학교,보건관리학과,109,107
배화여자대학교,경영정보과,226,22
배화여자대학교,관광경영과,226,29
배화여자대학교,보건행정과,226,108
백석문화대학교,경영정보과,52,22
백석문화대학교,경영회계정보과,52,25
백석문화대학교,경찰행정과,52,27
백석문화대학교,관광경영과,52,29
백석문화대학교,교양과,52,3
백석문화대학교,방사선과,52,105
백석문화대학교,보건행정과,52,108
백석예술대학교,경영정보과,23,22
백석예술대학교,경찰행정과,23,27
백석예술대학교,관광경영과,23,29
백석예술대학교,관광통역과,23,2
백석예술대학교,교양과,23,3
백제예술대학교,교양과,53,3
부산가톨릭대학교,교양공학부,100,71
부산가톨릭대학교,교양인문학부,100,4
부산경상대학교,경영정보과,27,22
부산경상대학교,경찰행정과,27,27
부산경상대학교,교양과,27,3
부산경상대학교,농수산과,27,84
부산경상대학교,반려동물과,27,92
부산경상대학교,소방안전관리과,27,111
부산과학기술대학교,간호과,28,101
부산과학기술대학교,건축과,28,63
부산과학기술대학교,경영정보과,28,22
부산과학기술대학교,경찰행정과,28,27
부산과학기술대학교,교양과,28,3
부산과학기술대학교,기계과,28,78
부산과학기술대학교,반려동물과,28,92
부산과학기술대학교,보건행정과,28,108
