db_university,db_major,reason
고려대학교,방사선학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,수학교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교,역사교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,고고학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,국어국문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,국제문화정보학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,국제지역학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,독어독문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,독일학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,문예창작학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려대학교 세종캠퍼스,약학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,건축공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,경찰행정학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고려사이버대학교,보건관리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고신대학교,광고홍보학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고신대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고신대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고신대학교,보건관리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
고신대학교,생명공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광양보건대학교,물리치료과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광양보건대학교,방사선과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광양보건대학교,응급구조과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,게임공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,국제법무학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,국제지역학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,국제통상학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광운대학교,국제학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주과학기술원,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주과학기술원,기계공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주과학기술원,물리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주과학기술원,생명과학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,가정교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,과학교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,미술교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,사회교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주교육대학교,수학교육과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주보건대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주보건대학교,물리치료과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주보건대학교,방사선과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주보건대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
광주여자대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,게임콘텐츠과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,관광경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,기계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,반려동물과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,언어재활과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
구미대학교,의료보장구과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립공주대학교,기계설계공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립군산대학교,고고학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립군산대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립군산대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립금오공과대학교,건축공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립금오공과대학교,건축학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립금오공과대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립금오공과대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립금오공과대학교,생화학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,교양생활과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,국제문화정보학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,독어독문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,문화인류학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,물리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포대학교,산림자원학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포해양대학교,건축학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립목포해양대학교,군사학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립부경대학교,교양사회과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립부경대학교,의료정보공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립순천대학교,교양경상학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립순천대학교,약학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,경제학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,관광경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,국어국문학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,기계설계공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,기타유럽어학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,문화인류학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,물리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,산림자원학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,생물학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립안동대학교,생화학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립창원대학교,간호학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
국립창원대학교,건축공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
